Invoice,Amount
0886460-IN,59.4
0890649-IN,4300.23
S067345-IN,654.39
W265153-IN,2443
W265786-IN,48
W265919-IN,15.25
CL48972-IN,1461.57
H76212I-IN,2.19
H76236I-IN,37.97
H77512I-IN,67.48
CL48973-IN,1989.78
H76271I-IN,837
H76655I-IN,30.99
H77070I-IN,51.54
H77401I-IN,539.2
H77549I-IN,104.85
H77990I-IN,10.98
H77995I-IN,54.06
H78183I-IN,9.9
W265942-IN,30
0887858-IN,200
W265712-IN,55
AUG0987-FC,1.64
H69969I-IN,52.36
H72054I-IN,65
H72196I-IN,13.49
H74176I-IN,21.98
H75492I-IN,7.98
SEP1012-FC,1.91
S344949-IN,507.5
0889112-IN,160
0889475-IN,611.4
H78286I-IN,22.99
H77675I-IN,29.99
0887864-IN,200
0110524-PP,-65.6
0887161-IN,400
H78145I-IN,17.97
0883053-IN,4.62
0883744-IN,25.2
0883898-IN,19.99
SEP1013-FC,1.36
W262390-IN,108.5
W263148-IN,607
W263149-IN,351.5
W263680-IN,872.5
0782415-IN,49.25
0799850-IN,279.83
APR0904-FC,4.67
AUG0903-FC,1.17
AUG0988-FC,4.67
DEC1030-FC,4.67
FEB1076-FC,4.67
JAN1005-FC,4.67
JUL0814-FC,4.67
JUL0885-FC,1.4
JUN0830-FC,4.67
JUN0937-FC,1.2
MAR1032-FC,4.67
MAY0884-FC,4.67
MAY0930-FC,1.2
NOV1061-FC,4.67
OCT0909-FC,4.67
SEP0941-FC,1.17
SEP1014-FC,4.67
W216519-IN,80
AUG0989-FC,3.58
S335294-IN,286.09
SEP1015-FC,3.58
W265290-IN,1105
PP0212-PP,-1000
CL47239-IN,121.5
CL48977-IN,66.26
SEP1016-FC,1.52
0886450-IN,196.06
PP1127-PP,-503.65
W265713-IN,90
CL48979-IN,187.45
AUG0992-FC,386.03
W265975-IN,495
0080525-PP,-0.06
W265750-IN,120
W265399-IN,20.4
0819290-IN,35.93
S067359-IN,146.16
W265714-IN,80
0120924-PP,-107
0100825-PP,-31.18
AUG0994-FC,3.18
S336436-IN,319
SEP1019-FC,3.18
W261164-IN,80
0081225-PP,-495
S345978-IN,478.5
S345980-IN,50.75
W263674-IN,-136
W265270-IN,-119
H77499I-IN,47.83
0123024-PP,-39610.5
0877242-IN,3375
0882369-IN,5148.75
0884252-IN,780
0887928-IN,1562.5
CL47245-IN,200.56
CL48984-IN,322.12
SEP1023-FC,29.45
AUG0996-FC,13.99
JUL0815-FC,12.86
JUN0834-FC,12.86
MAY0888-FC,8.11
S001358-IN,975
S330529-IN,380
SEP1024-FC,13.99
W254061-IN,90
0879542-IN,124.4
0880585-IN,46.18
0881376-IN,63.49
0884157-IN,61.44
0885409-IN,60.41
0887379-IN,60.91
0888082-IN,59.45
W261157-IN,80
W261165-IN,120
AUG0997-FC,0.28
JUL0816-FC,0.28
JUN0835-FC,0.28
S001223-IN,364.24
S330131-IN,380.76
SEP1026-FC,5.58
W257905-IN,60
FA0525-PP,-505
FA1124-PP,-918
CL48987-IN,78
W265751-IN,45
0031125-PP,-0.95
0874543-IN,44.02
0888318-IN,151.16
H73537I-IN,118.99
H76699I-IN,25.98
H77901I-IN,2.25
H77907I-IN,2.25
SEP1027-FC,2.04
APR0909-FC,0.97
H73465I-IN,122.92
H74595I-IN,44.74
H75719I-IN,24.04
H78123I-IN,26.78
JUL0818-FC,1.25
JUN0837-FC,0.47
MAY0890-FC,0.15
SEP1028-FC,2.1
APR0910-FC,0.2
AUG0998-FC,0.5
H64540I-IN,5.7
H72051I-IN,34
JUL0819-FC,0.91
JUN0838-FC,0.27
MAY0891-FC,0.98
SEP1029-FC,0.5
0888416-IN,44.1
0888949-IN,61.8
H78003I-IN,18.23
PP0911-PP,-77.63
W265691-IN,120
H77194I-IN,81.97
AUG1000-FC,2.5
S335686-IN,199.81
SEP1030-FC,2.5
H76258I-IN,33.96
W265700-IN,80
CL48990-IN,247.03
H77337I-IN,85.38
H77605I-IN,2.25
H78089I-IN,10.98
H78221I-IN,5.49
W265715-IN,45
W228486-IN,60
0886531-IN,161.9
W265358-IN,2740
W995526-PP,-12000
W265741-IN,60
DEC1041-FC,186.68
FEB1085-FC,45.77
JAN1017-FC,120.77
JUL0894-FC,652.54
MAR1037-FC,22.53
NOV1076-FC,256.89
OCT0916-FC,331.89
SEP0950-FC,409.47
SEP1031-FC,2.93
H77784I-IN,7.78
H78354I-IN,7.99
S344532-IN,450
S344165-IN,733.41
0872112-IN,25.2
SEP1032-FC,0.32
0073024-PP,-28.4
0888875-IN,521
0052824-PP,-504
0060625-PP,-802.5
CL47256-IN,301.42
CL48994-IN,656.78
SEP1033-FC,3.77
AUG1003-FC,0.17
H77618P-IN,-66.02
H78370I-IN,33.98
0889604-IN,-122.6
0889612-IN,122.6
H78167I-IN,11.45
0887124-IN,8560.2
H77449I-IN,79.92
H77554I-IN,48.43
H77834I-IN,5.49
H77846I-IN,5.99
H77920I-IN,4.41
H78061I-IN,1.59
H78284I-IN,99.43
0021125-PP,-75
0022324-PP,-75
0022425-PP,-75
0030625-PP,-75
0030824-PP,-75
0032025-PP,-75
0032224-PP,-75
0040424-PP,-75
0040425-PP,-75
0041725-PP,-75
0041924-PP,-75
0050525-PP,-75
0050624-PP,-75
0051625-PP,-75
0052024-PP,-75
0060524-PP,-75
0060625-PP,-75
0061324-PP,-75
0061625-PP,-75
0062724-PP,-75
0063025-PP,-75
0071124-PP,-75
0071725-PP,-75
0072925-PP,-75
0073024-PP,-75
0080824-PP,-75
0081425-PP,-75
0082525-PP,-75
0082624-PP,-75
0090825-PP,-75
0091024-PP,-75
0092225-PP,-75
0092324-PP,-75
0100424-PP,-75
0100725-PP,-75
0102224-PP,-75
0110524-PP,-75
0111824-PP,-75
0112924-PP,-75
0121224-PP,-75
0122324-PP,-75
0884950-IN,62.4
H76792I-IN,6
H77738I-IN,4.79
0887566-IN,3080.07
H77483I-IN,150.34
CL48998-IN,122.01
W260989-IN,505
W262191-IN,-34
0876602-IN,162.45
0876604-IN,97.49
W265752-IN,120
0887530-IN,83.16
W265753-IN,45
W265217-IN,18.75
0890107-IN,23.94
W263670-IN,2863.1
W265295-IN,68
W265369-IN,32
W265475-IN,37.5
0050725-PP,-1188
0882354-IN,60
W265716-IN,145
0092225-PP,-150
CL49003-IN,598.85
CL49004-IN,167.72
0886583-IN,-112.19
0889517-IN,221.5
AUG1005-FC,3.37
H68590I-IN,95.6
H69826I-IN,120
H70593I-IN,53.98
H73957I-IN,18.79
JUL0824-FC,1.2
SEP1035-FC,3.6
CL49006-IN,2274.4
H78164I-IN,23.97
0881428-IN,2406.5
0882391-IN,212
CL49007-IN,404.05
PP0811-PP,-2350.2
S067363-IN,377.73
W265717-IN,120
0881730-IN,580
0888987-IN,4637.5
H76816I-IN,3.59
H77127I-IN,15.75
H78305I-IN,32.94
0101625-PP,-223.49
W192867-CM,-798.03
PP0827-PP,-0.8
H75629I-IN,7.99
H75797I-IN,23.63
H75849I-IN,21
H76364I-IN,14
H76420I-IN,5.75
H76492I-IN,11.35
H76798I-IN,22.37
H76805I-IN,6.3
H76810I-IN,4.5
H76959I-IN,11.25
H76986I-IN,5.63
H77004I-IN,8.75
H77007I-IN,5.25
H77043I-IN,6.45
H77059I-IN,2.49
H77064I-IN,32.99
H77175I-IN,2.25
H77185I-IN,2.25
H77367I-IN,3.38
H77417I-IN,39.24
H78026I-IN,10.13
AUG1010-FC,1.36
H69357I-IN,108.72
JUL0827-FC,1.36
SEP1039-FC,1.36
0886914-IN,90.6
W265718-IN,60
W265719-IN,60
B635627-IN,-1356.91
H77785I-IN,12.99
H77669I-IN,59.51
PP1010-PP,-0.1
CL49016-IN,483.07
H77435I-IN,37.62
0001001-PP,-0.24
H76873I-IN,23.99
H75331I-IN,12.99
H75706I-IN,2.5
H75750I-IN,63.98
H76203I-IN,52.47
H76228I-IN,20.11
H76259I-IN,13.99
H76396I-IN,14.98
H76779I-IN,5.58
H77158I-IN,17.08
H78253I-IN,29.65
SEP1042-FC,0.75
W257518-IN,60
CL49017-IN,693
CL47281-IN,380.81
CL49018-IN,416.67
SEP1043-FC,3.97
H75843I-IN,28.56
W265124-IN,1335
0100825-PP,-32.91
H77177I-IN,38.46
H77668I-IN,88.91
0883040-IN,57.1
H72579I-IN,24.46
H72870I-IN,2.49
H72871I-IN,1.5
H73222I-IN,7.99
H74121I-IN,8.52
H74944I-IN,59.86
H75384I-IN,3
H75388I-IN,1.18
H76139I-IN,3.96
H77284I-IN,14.41
SEP1045-FC,1.31
S345260-IN,151.2
W265041-IN,30.9
0101325-PP,-300
S346176-IN,300.75
W265365-IN,120.25
0090325-PP,-525
0887862-IN,91.82
CL47284-IN,1712.27
CL49021-IN,1266.71
S345214-IN,300.3
SEP1046-FC,21.4
W260717-IN,248
W260810-IN,15
W262019-IN,94
W263428-IN,75.75
W265366-IN,-20
0051225-PP,-134.67
0878629-IN,45
0879067-IN,835.2
0879977-IN,572
CL49022-IN,1315.13
W260719-IN,40.8
W260864-IN,94
W265480-IN,40.8
0022625-PP,-1905.37
0887785-IN,1474.73
CL49023-IN,2466.74
S067339-IN,246.5
S067343-IN,200.1
S067365-IN,240.45
S067366-IN,76.65
SEP1047-FC,7.03
W261320-IN,64
CL49024-IN,123.59
H75597I-IN,21.98
AUG1017-FC,2.22
H74077I-IN,33.98
H75400I-IN,16.74
H76803I-IN,8.58
H77328I-IN,13.48
H77330I-IN,13.5
H77342R-IN,-6.5
H78010I-IN,7.11
H77630I-IN,6
JUL0833-FC,0.82
MAY0905-FC,4.51
SEP1048-FC,10.43
CL49025-IN,136.91
H77966I-IN,21.98
0886530-IN,32
0889104-IN,-119
H77845I-IN,35.34
H74626I-IN,20.11
0888691-IN,51.35
0872913-IN,680
H75893I-IN,2.04
H76575I-IN,4.13
H78285I-IN,29.65
H77567I-IN,33
H77628I-IN,3.14
0877777-IN,70
SEP1050-FC,1.88
W257906-IN,80
H75231I-IN,44.95
H75791I-IN,6.49
H76859I-IN,18.35
H76943I-IN,32.55
H76947I-IN,19.99
H77510I-IN,49.98
FA0525-PP,-442
0877626-IN,2907.2
0880129-IN,42.35
0888981-IN,1790.57
W261307-IN,349
W265907-IN,426.4
H78287I-IN,17.99
H78363I-IN,89.47
PB0925-PP,-1450
W265720-IN,50
0070325-PP,-800
0879704-IN,333
S345977-IN,319
S346295-IN,282.75
0041223-PP,-1902.1
0873353-IN,3349
CL49031-IN,103.42
W250636-IN,120
CL47298-IN,299.55
CL49035-IN,126.28
H76248I-IN,23.99
0888707-IN,6287.5
0031325-PP,-45
AUG1021-FC,0.75
JUL0835-FC,0.75
SEP1052-FC,0.75
W250637-IN,60
0886487-IN,35.4
CL49036-IN,185.7
H78245I-IN,52.94
AUG1022-FC,4.61
S332261-IN,668.7
SEP1053-FC,4.61
0061225-PP,-300
W260807-IN,50
W265509-IN,1797.16
CL47300-IN,71.99
SEP1054-FC,0.9
W260806-IN,50
W265292-IN,112
W265508-IN,2960.43
AUG1023-FC,2.18
S336331-IN,116
S336337-IN,58
SEP1055-FC,2.18
0888158-IN,7723.1
AUG1024-FC,3.59
H74894I-IN,33.72
H75967I-IN,1.4
S336975-IN,296.67
S340470-IN,167.77
SEP1056-FC,3.61
H77407I-IN,114.2
H77936I-IN,22.48
H78076I-IN,66.6
H78087I-IN,9.19
CL49039-IN,127.72
H72991I-IN,27.3
H77706I-IN,16.14
H78043I-IN,7.5
S067336-IN,507.65
0889693-IN,108.99
0890522-IN,28.35
CL49042-IN,2727.16
SEP1057-FC,17.95
0041524-PP,-16.83
CL49046-IN,60.5
H54287P-IN,-14.18
H76043I-IN,59.99
H76436I-IN,45.98
H77455I-IN,9.99
0877493-IN,977.7
AUG1028-FC,34.22
DEC1067-FC,50.6
JAN1039-FC,1.13
JUL0843-FC,14.55
JUN0859-FC,132.59
NOV1100-FC,7.25
SEP1059-FC,12.22
W261204-IN,80
H56822-PP,-76.06
0040925-PP,-205.58
0888172-IN,48
0889014-IN,3570
H77760I-IN,11.99
H77772I-IN,15.98
0881568-IN,27.95
0881758-IN,64
0881988-IN,1011.73
0884591-IN,164.32
0886480-IN,13.98
0886818-IN,39.71
0888809-IN,2891.3
0888882-IN,900
CL49048-IN,1314.24
H75109I-IN,10.35
H76684I-IN,40.26
W265299-IN,73
0882103-IN,14885.13
W265721-IN,120
0874542-IN,11.44
0884546-IN,68.84
0887984-IN,30.74
0890556-IN,34.89
SEP1060-FC,0.14
APR1105-FC,32.91
AUG0937-FC,16.18
AUG1042-FC,68.16
BFC354-FC,117.08
DEC1068-FC,4.94
DEC1266-FC,53.16
FEB1220-FC,37.41
JAN1041-FC,4.94
JAN1132-FC,44.16
JUL0911-FC,19.41
JUL1090-FC,68.16
JUN0973-FC,19.41
JUN1038-FC,71.16
MAR1138-FC,32.91
MAY0967-FC,23.91
MAY1088-FC,71.16
NOV1102-FC,8.68
NOV1220-FC,57.66
OCT0944-FC,12.43
OCT1082-FC,64.41
SEP0972-FC,12.43
SEP1122-FC,66.29
H75847R-IN,-54.97
AUG1029-FC,0.55
JUL0846-FC,0.55
JUN0861-FC,0.55
MAY0917-FC,0.55
SEP1061-FC,0.55
H75263I-IN,62.44
H75769I-IN,3.78
H76274I-IN,23.58
H76289I-IN,35.05
H76304I-IN,26.59
H76491I-IN,3.58
H76915I-IN,5.99
H77596I-IN,57.96
0888568-IN,193.3
0881296-IN,82.98
0883906-IN,76.72
0884137-IN,71
0886947-IN,78.2
0888564-IN,73
0889547-IN,70.78
0879750-IN,19
0880175-IN,56.67
0880295-IN,14.54
0880575-IN,105.75
0880618-IN,52.29
0881140-IN,77.31
0881160-IN,77.73
0881731-IN,1344
0881755-IN,75.01
0881956-IN,31.48
0882060-IN,111.3
0882257-IN,97.85
0882419-IN,48.22
0882422-IN,49
0883241-IN,17.33
0884055-IN,74.26
0884066-IN,17.21
0884200-IN,59.26
0884572-IN,26.66
0884871-IN,75
0885103-IN,48.2
0885614-IN,50.01
0885664-IN,78.13
0886192-IN,38.71
0886405-IN,125.92
0887290-IN,21.42
0887336-IN,124.38
0888070-IN,102.22
0889136-IN,92.53
0889158-IN,26.73
0889460-IN,27.41
0889980-IN,110.99
0890443-IN,50.09
CL49052-IN,761.3
W262052-IN,173.05
0887778-IN,1829.19
H76841I-IN,40.77
H77255I-IN,102.8
5873212-PP,-4325.88
H26583R-IN,-32.99
W265722-IN,60
0879632-IN,190.19
H78054I-IN,13.29
H78088I-IN,50.46
H78113I-IN,62.47
H78118I-IN,20.66
H78162I-IN,36.46
0091725-PP,-30.52
0883726-IN,17.04
0889700-IN,249.7
CL49056-IN,272.4
H76278I-IN,6.79
S067341-IN,1187.04
0886311-IN,259.43
CL49058-IN,159.07
S346377-IN,145.44
W265175-IN,1367.6
S346284-IN,630.61
CL49059-IN,265.09
H77443I-IN,5.6
CL47320-IN,359.8
CL49061-IN,1508.98
H74874R-IN,-115.6
H75479I-IN,124.98
H75880I-IN,225
H76559I-IN,13.29
H77358I-IN,18.98
H77555I-IN,18.98
H78023I-IN,350
H78238I-IN,18.99
CL49062-IN,584.79
CL49063-IN,32.61
PB0725-PP,-1400
H77529I-IN,37.66
H77819I-IN,0.6
H77830R-IN,-37.66
H78122I-IN,28.64
H78163I-IN,16.8
H78254I-IN,1.44
H77664R-IN,-9.99
H77997I-IN,140
H78176I-IN,280
H78190I-IN,41.97
CL49067-IN,7808.49
H75151I-IN,69.98
H75265I-IN,2.79
H75765I-IN,3.05
H75772I-IN,33.99
H76237I-IN,3.49
H76307I-IN,51.99
H76524R-IN,-9.99
H76784I-IN,19.22
H77213I-IN,44.15
H77478I-IN,52.78
H77561I-IN,128
H77662I-IN,9
H77818I-IN,92.03
H77861I-IN,9.49
H77996I-IN,57.28
AUG1034-FC,13.48
S334478-IN,1078
SEP1063-FC,14.98
W257521-IN,120
0100725-PP,-84.51
S343062-IN,524.61
H78094I-IN,64
PP1010-PP,-882.58
S345911-IN,316.83
S345918-IN,563.76
S342694-IN,616.25
H77661I-IN,83.3
S340459-IN,326.54
S001452-IN,884.5
SEP1065-FC,11.06
0886989-IN,2250
0887377-IN,535.54
CL49072-IN,1347.62
S336525-IN,551
SEP1066-FC,1.48
W261205-IN,30
0000909-PP,-28.24
APR0940-FC,120.97
MAY0926-FC,486.17
H77972I-IN,94.77
AUG1036-FC,0.51
H70254I-IN,22.68
H71114I-IN,18.26
H73106I-IN,0.28
H73146I-IN,10.48
H74067I-IN,8.15
H74178I-IN,15.99
S339765-IN,217.5
SEP1068-FC,3.67
H76038I-IN,8
H77708I-IN,202.94
0888548-IN,186.56
0878757-IN,9556.7
H67919I-IN,11.99
JUN0865-FC,120.66
SEP1069-FC,119.47
0885191-IN,67.5
CL49074-IN,224.7
W261169-IN,80
W261170-IN,80
H78293I-IN,28.58
CL49075-IN,184.64
SEP1070-FC,1.81
0000210-PP,-44.18
FM0525-PP,-400
FM0925-PP,-977
W265723-IN,80
0100625-PP,-46.03
CL49076-IN,4986.03
H67492P-IN,-65.39
0011425-PP,-5952.75
0041525-PP,-3000
W255470-IN,1800
W259193-IN,1782
W261565-IN,-7680.07
W263520-IN,35008.32
W263521-IN,2230
W259237-IN,-500
W261567-IN,-1410
0884251-IN,415.6
AUG1038-FC,7.51
S067275-IN,600.9
SEP1072-FC,7.51
W265298-IN,51
0100325-PP,-46.8
0887588-IN,46.8
0889662-IN,78
0888684-IN,-20
0889724-IN,1742.35
0820118-IN,26.74
0861366-IN,954.53
CL33726-IN,2594.51
W264849-IN,227
CL49083-IN,90.68
AUG1041-FC,3.82
H66386I-IN,17.4
H67183I-IN,21.59
H67772I-IN,64.72
H68017I-IN,14.56
H68130I-IN,17.05
H69392I-IN,126.16
H69835I-IN,35.69
H69836I-IN,8.37
H72692I-IN,126.16
H73062I-IN,31.54
H73063I-IN,24.5
H73377I-IN,90.99
H73474I-IN,17.97
H74800I-IN,24
H75794I-IN,143
H75960I-IN,3
JUL0852-FC,3.27
JUN0871-FC,0.22
SEP1076-FC,7.76
0890646-IN,8836.04
0890648-IN,37.02
AUG1042-FC,429.28
0879013-IN,-120
CL49085-IN,41.27
H77766I-IN,59.99
SEP1077-FC,1
W257908-IN,80
0071025-PP,-200
0081125-PP,-200
0091025-PP,-200
0101025-PP,-200
S345004-IN,290
W265724-IN,80
0890645-IN,25
H78280I-IN,36.99
H78290I-IN,23.99
CL49086-IN,595.26
H75586I-IN,13.86
H77637I-IN,10.99
H77651I-IN,1.8
H77921I-IN,25.18
H78192I-IN,12.78
H77466I-IN,19.99
H77491I-IN,6.99
H75159I-IN,36.12
H75366I-IN,17.98
H75394I-IN,7.49
H75708I-IN,12.99
H76210I-IN,35.98
H76292I-IN,48.88
H76494I-IN,25.96
H76622I-IN,101.98
H76626I-IN,45.56
H76758I-IN,13.35
H76815I-IN,25.92
H76926I-IN,67.08
H77543I-IN,10.99
H77724I-IN,16.48
W265725-IN,60
W256245-IN,35072.72
W259236-IN,-1339.85
W260193-IN,-128.9
PB0725-PP,-1540
CL49088-IN,59.64
0101325-PP,-0.36
W259234-IN,-3441.25
W260191-IN,43355.04
W260192-IN,1800
W260194-IN,-171.38
0070725-PP,-100
0080825-PP,-100
0090925-PP,-15
CL49090-IN,37.52
W246617-IN,-2139.25
W261566-IN,-1009.25
0887255-IN,1284
0888419-IN,-100
S340782-IN,798.37
SEP1080-FC,9.98
FA0525-PP,-379
FA1124-PP,-689
CL49092-IN,504.78
H72944I-IN,17
H72959I-IN,14.49
H73693I-IN,3.29
H73923I-IN,15.48
H73934I-IN,3
H74072I-IN,5.49
H74248I-IN,10.98
H74268I-IN,5.58
H74420I-IN,5.29
H75393I-IN,13.49
H76152I-IN,11.34
H76628I-IN,3.87
H77019I-IN,6.28
H77451I-IN,6.49
H77564I-IN,19.98
H77857I-IN,14.99
SEP1081-FC,1.01
H76343I-IN,26.99
H76534R-IN,-3.36
H76673I-IN,2.38
H77479I-IN,9.99
H77616I-IN,55.48
H77730I-IN,1.13
H78172I-IN,19.99
H78193I-IN,7.49
H78257I-IN,17.99
H78259I-IN,37.99
W265726-IN,60
H75296I-IN,73.98
H76894I-IN,36.99
H72586I-IN,2.29
H72848I-IN,25.98
H73117I-IN,18.27
H73221I-IN,22.7
H73437I-IN,8.93
H74167I-IN,46.96
H74302I-IN,3.5
H75582I-IN,7.49
H75762I-IN,25.99
H77428I-IN,6.49
H77956I-IN,10.98
SEP1082-FC,1.61
0051425-PP,-21.85
W192866-CM,-118.81
FA05252-PP,-694
FA0525-PP,-1262
W248891-IN,-295.2
0001007-PP,-50.47
AUG1045-FC,3.63
MAY0940-FC,1
S335764-IN,290
SEP1083-FC,3.63
CL49094-IN,41.47
H77638I-IN,294.81
H77640I-IN,89.98
H77690I-IN,94.22
H78390I-IN,21.96
H78391I-IN,36.45
W250358-IN,-582.95
W259235-IN,-2982.05
0041825-PP,-36.74
H75694I-IN,44.98
H76006I-IN,120.93
H76119I-IN,44.98
H76142I-IN,13.99
AUG1047-FC,0.27
H71189I-IN,9.49
H71810I-IN,11.99
H74669I-IN,39.27
H75167I-IN,13
H75684I-IN,10.58
H75725I-IN,9.99
H77434I-IN,3.79
SEP1084-FC,0.76
0033125-PP,-621.8
H77382I-IN,94
CL49095-IN,1496.05
CL49096-IN,413.22
H78308I-IN,16.98
W246051-IN,-2057.5
0082525-PP,-3.84
H77075I-IN,8.94
0879654-IN,4.3
AUG1048-FC,0.3
H67676I-IN,23.99
JUL0857-FC,0.3
SEP1085-FC,0.35
CL49099-IN,3345.68
H77485I-IN,6.1
FA0525-PP,-379
0864849-IN,9400.08
AUG1049-FC,0.74
JUL0858-FC,117.5
SEP1086-FC,0.74
H78273I-IN,7.49
W264863-IN,36.8
PP1002-PP,-210
CL49104-IN,1100.53
0093025-PP,-2925
0886303-IN,197.02
0887585-IN,14.18
S067354-IN,307.8
0887571-IN,15.19
W250361-IN,-2548.65
0824388-IN,-90
0836006-IN,-20
0840248-IN,-50
W261472-IN,33739.12
W261554-IN,2660
MAY0944-FC,6.48
S339341-IN,210.25
SEP1087-FC,2.63
0000818-PP,-549.47
0001212-PP,-57.49
W265727-IN,120
H77395I-IN,41.83
0887362-IN,232.22
0100325-PP,-13.03
0000904-PP,-500
S343051-IN,498.95
AUG1051-FC,3.82
JUL0860-FC,3.82
S335338-IN,305.95
SEP1089-FC,3.82
0080524-PP,-169.08
H72416P-IN,-14.04
0091223-PP,-325.76
APR0963-FC,4.88
AUG1052-FC,4.88
JUL0861-FC,4.88
JUN0881-FC,4.88
MAY0950-FC,4.88
S326753-IN,390
SEP1090-FC,4.88
0000410-PP,-2.5
APR0964-FC,3.75
AUG1053-FC,3.75
JUL0862-FC,3.75
JUN0882-FC,3.75
MAR1076-FC,5
MAY0951-FC,3.75
S322684-IN,400.2
SEP1091-FC,3.75
0042525-PP,-13.17
0846221-IN,157.5
0889455-IN,715.93
0888463-IN,10075
0889440-IN,2080
0889454-IN,1820
AUG1054-FC,1.15
0867247-IN,4375
0886694-IN,29230
0887289-IN,13117.5
0888935-IN,400
CL49107-IN,186.17
H76386I-IN,57.47
W265728-IN,100
0006383-PP,-14.74
0026853-PP,-30.02
CL49108-IN,226.59
0006383-PP,-14.99
CL49109-IN,169.41
S344899-IN,560
0090525-PP,-0.03
0120623-PP,-0.2
CL49110-IN,4831.63
H76862I-IN,47.88
H77316I-IN,5.99
0756626-IN,63
0760193-PP,-65
0886479-IN,71.07
0889492-IN,245.99
CL49111-IN,80.12
CL49112-IN,124.48
H77366I-IN,6.49
0885405-IN,129.06
0886256-IN,142.96
0886443-IN,149.46
0887119-IN,87.73
0887863-IN,81.23
0888153-IN,97.47
0888994-IN,128.36
0889516-IN,86.65
CL49113-IN,70.33
H76490I-IN,22.68
H76831I-IN,30.99
H77313I-IN,29.99
H77397I-IN,20.48
0883715-IN,311.54
0884842-IN,3368.71
CL49114-IN,573.43
H62654-PP,-3.49
H75042I-IN,5.99
H76366I-IN,10.58
H76910I-IN,33.75
H76922I-IN,9.49
H77239I-IN,23.96
H77362I-IN,9.49
CL49115-IN,121.31
H76447I-IN,33.99
CL49116-IN,5498.02
CL49117-IN,28.69
B284695-IN,-5
0885283-IN,240
CL49118-IN,361.04
H77832I-IN,16
H77537I-IN,1.6
H78114I-IN,19.43
H78127I-IN,28.77
H35268I-IN,4.29
0890660-IN,151.32
0881429-IN,5856.93
0882105-IN,14885.13
0879005-IN,1601.2
CL49120-IN,269.8
H75942I-IN,21.45
W262511-IN,616.8
W265510-IN,332.6
0689105-IN,83.69
0881116-IN,714.55
CL49121-IN,1807.07
0121224-PP,-21919.26
0882057-IN,4215.9
0031125-PP,-2241.77
0865082-IN,3000
AUG1056-FC,9.48
JUL0863-FC,9.48
SEP1092-FC,9.48
H76865I-IN,12.38
FA0325-PP,-1148
FA0525-PP,-631
FA0624-PP,-574
0022124-PP,-54.34
0032824-PP,-54.34
S067347-IN,247.81
H77552I-IN,144.92
H77575R-IN,-1
H77595I-IN,14.51
H77731I-IN,1.5
H78275I-IN,36.33
H78315I-IN,38.22
H78341I-IN,39.27
H78218I-IN,32
H77636I-IN,40
H77695I-IN,308.4
W263675-IN,56.9
H75763I-IN,5.58
H75795I-IN,40.7
H76010I-IN,20
H76950I-IN,5.11
H76952R-IN,-3.49
H76956I-IN,5.76
0000909-PP,-0.25
CL49124-IN,2640.65
H75264I-IN,630
H75363I-IN,252.86
H76443I-IN,25.99
H77010I-IN,32.48
H77950I-IN,34
H77828I-IN,28.2
W265687-IN,125
AUG1058-FC,55.45
CL49126-IN,2963.93
AUG1059-FC,18.31
H72252I-IN,28.99
S336447-IN,398.75
S336449-IN,536.5
S336450-IN,109.04
S336463-IN,391.5
SEP1093-FC,18.31
W265754-IN,90
W265755-IN,80
0879352-IN,13094.95
0880791-IN,6547.48
0880792-IN,6547.48
0881142-IN,5819.98
0881143-IN,7274.98
0885839-IN,2749.43
SEP1094-FC,491.06
0879917-IN,300
0880028-IN,36
0886257-IN,101.08
CL49129-IN,408.64
W261444-IN,81.6
CL49130-IN,250.33
0889451-IN,6100
H77553I-IN,10.98
H77949I-IN,11.55
0888533-IN,25.5
SEP1095-FC,1.51
0842232-IN,-100
0848931-IN,-100
0864733-IN,-100
0865147-IN,-100
0873090-IN,-100
0880165-IN,-100
0887792-IN,-100
H78271I-IN,15.43
H06888P-IN,-47.32
H75100I-IN,54.95
H75240I-IN,19.3
H75473I-IN,196.57
H76277I-IN,13.57
H76340I-IN,4.29
H76460I-IN,39.89
H76538I-IN,32.8
H76645I-IN,7.29
H76796I-IN,13.99
H77369I-IN,58.18
H77621I-IN,129.59
H77686I-IN,2.29
H77893I-IN,10.47
H78156I-IN,2.4
H78179I-IN,16.24
0101325-PP,-72.5
S346163-IN,72.5
0888125-IN,6600
S346161-IN,84.1
S346162-IN,30.45
S346164-IN,26.1
W26573R-DM,60
0101325-PP,-174
S346160-IN,174
W265729-IN,60
0887148-IN,452
H77954I-IN,62.97
H77955P-IN,-50
H78246I-IN,4.29
S342804-IN,646.12
AUG1063-FC,5.37
JUL0869-FC,5.37
JUN0889-FC,5.37
MAY0958-FC,1.73
S329382-IN,390.78
SEP1096-FC,3
JUL0870-FC,19.04
S346232-IN,571.65
0868693-IN,1240
0871177-IN,12681.02
0877287-IN,95
0880093-IN,656.29
AUG1064-FC,174.01
H74661I-IN,6.99
S339912-IN,232
SEP1097-FC,178.19
0041625-PP,-150
0050125-PP,-150
0052125-PP,-150
0060425-PP,-150
0061825-PP,-150
0070225-PP,-150
CL49133-IN,445.24
H77077I-IN,56.99
H78139I-IN,280
H75554I-IN,165.17
H77450I-IN,43.79
H77452R-IN,-43.79
H77657I-IN,12.92
H76186I-IN,96
H77384I-IN,64
