Invoice,Amount
MAY0033-FC,0.9
NOV0044-FC,2.09
OCT0035-FC,2.09
SEP0028-FC,2.09
SEP0038-FC,3.29
W194490-IN,68.9
W221804-IN,79.5
W253883-IN,79.5
AUG0038-FC,7.32
JUL0028-FC,7.32
JUN0027-FC,6.21
MAY0024-FC,6.21
S045015-IN,496.75
SEP0039-FC,7.32
W251427-IN,89
0081925-PP,-500
0091625-PP,-200
SEP0040-FC,180.23
AUG0040-FC,1.61
JUL0030-FC,1.61
SEP0041-FC,1.61
W251429-IN,129
W265641-IN,100
0888956-IN,1396.81
0889894-IN,1228.94
AUG0041-FC,5.21
JUL0031-FC,5.21
JUN0029-FC,5.21
S332855-IN,346.02
SEP0042-FC,5.21
W232153-IN,1.06
PB0925-PP,-2340
S049339-IN,198.32
CL47786-IN,1154.9
SEP0044-FC,1.19
W258500-IN,79.5
S343550-IN,228.69
S345736-IN,459.96
0863655-IN,1786.2
0872511-IN,1964.82
0876206-IN,1667.12
0883205-IN,1488.5
0885250-IN,3563.85
0886648-IN,1339.65
0886650-IN,1488.5
0887284-IN,3404.41
0887393-IN,2917.55
0888614-IN,1964.82
0890014-IN,1339.65
0890020-IN,774.02
APR0030-FC,26.08
AUG0042-FC,57.68
DEC0035-FC,59.29
JAN0041-FC,16.75
JUN0031-FC,176.08
MAR0037-FC,17.32
MAY0025-FC,131.08
NOV0050-FC,42.54
SEP0034-FC,3.35
SEP0045-FC,138.96
AUG0043-FC,3.17
S335627-IN,211.01
SEP0046-FC,3.17
PB92525-PP,-1560
CASH24-PP,-110
FM0925-PP,-1679
CL47788-IN,4898.73
LP0125-PP,-161
LP0225-PP,-161
LP0325-PP,-161
LP0425-PP,-161
LP0525-PP,-161
LP0625-PP,-161
LP0725-PP,-53
LP0825-PP,-53
LP0925-PP,-53
0887799-IN,1589.54
PB0925-PP,-1755
W266199-IN,95
5849353-PP,-591.35
5849354-PP,12.48
5851739-PP,-303.48
5851740-PP,-1.68
5851741-PP,-1002.51
5851742-PP,14.97
5851743-PP,-1191.96
5851744-PP,23.45
5854196-PP,-116.24
5854197-PP,-2.07
5854198-PP,-927.71
5854199-PP,11.75
5854200-PP,-1219.12
5854201-PP,21.02
5856723-PP,-111.1
5856724-PP,-1.87
5856725-PP,-1070.24
5856726-PP,17.45
5856727-PP,-1551.57
5856728-PP,24.73
5856729-PP,-1576.97
5856730-PP,28.14
5859408-PP,-34.42
5859409-PP,0.27
5859410-PP,-1659.92
5859411-PP,29.13
5859412-PP,-456.91
5859413-PP,8.72
5861484-PP,-97.3
5861485-PP,-0.68
5861486-PP,-1225.31
5861487-PP,19.01
5861488-PP,-1862.36
5861489-PP,35.13
5863766-PP,-33.17
5863767-PP,0.34
5863768-PP,-1560.27
5863769-PP,28.76
5863770-PP,-581.88
5863771-PP,11.37
5865880-PP,-161.26
5865881-PP,-2.51
5865882-PP,-70
5865883-PP,-1.01
5865884-PP,-853.3
5865885-PP,14.14
5865886-PP,-130.22
5865887-PP,3.32
5868151-PP,-171.02
5868152-PP,-2.86
5868153-PP,-197.89
5868154-PP,-0.98
5868155-PP,-1209.11
5868156-PP,23.46
5868157-PP,-734.87
5868158-PP,11.75
5870503-PP,-1393.31
5870504-PP,19.81
5870505-PP,-1626.83
5870506-PP,27.89
5870507-PP,-232.01
5870508-PP,4.57
5870509-PP,-1336.38
5870510-PP,23.27
5872858-PP,-1100.84
5872859-PP,18.88
5872860-PP,-1505.32
5872861-PP,27.74
5872862-PP,-83.85
5872863-PP,0.64
5872864-PP,-1373.59
5872865-PP,27.04
5875397-PP,-153.87
5875398-PP,-2.49
5875399-PP,-84.9
5875400-PP,0.62
5875401-PP,-1580.02
5875402-PP,34.43
5875403-PP,-1580.32
5875404-PP,21.84
5875405-PP,-696.98
5875406-PP,12.63
W265280-IN,6895.82
W265491-IN,5731.28
W265795-IN,7221.45
W266505-IN,5115.57
W266827-IN,7647.91
0081225-PP,-75
S050188-IN,145.78
S341301-IN,216
S341304-IN,153.5
SEP0047-FC,4.62
AUG0044-FC,1.13
SEP0048-FC,1.13
W254410-IN,75.39
S321445-IN,781.52
0886495-IN,4551.23
0886496-IN,18186.74
S345732-IN,267.14
APR0032-FC,1.11
AUG0045-FC,4.63
FEB0050-FC,1.11
JAN0043-FC,1.11
JUL0035-FC,4.63
JUN0034-FC,4.63
MAR0039-FC,1.11
MAY0029-FC,1.11
S046277-IN,282
SEP0049-FC,4.63
W233902-IN,89
W254877-IN,99
5585528-PP,-1.08
5585529-PP,0.14
5590716-PP,-66.3
5590717-PP,1.38
5595965-PP,-228.12
5595966-PP,4.45
5603530-PP,-0.12
5603531-PP,0.22
5615965-PP,-60
5615966-PP,1.17
5664513-PP,-222.9
5664514-PP,4.48
5666992-PP,-25.32
5666993-PP,0.6
5679538-PP,-395.4
5679539-PP,10.68
5682004-PP,-162
5682005-PP,3.44
5689343-PP,-18
5689344-PP,0.46
5714823-PP,-75.3
5714824-PP,1.69
5732185-PP,-158.82
5732186-PP,3.57
5749693-PP,-127.92
5749694-PP,3.52
5752010-PP,-205.32
5752011-PP,5.22
5801866-PP,-50.76
5801867-PP,1.14
5854260-PP,-206.4
5854261-PP,5.28
5856785-PP,-60
5856786-PP,1.35
S341267-IN,224
S341273-IN,254.45
SEP0050-FC,4.43
W264443-IN,90.1
0082925-PP,-500
PREPAY-PP,-374
S050145-IN,374
SEP0051-FC,1.61
W259280-IN,129
0881293-IN,1766.51
W266200-IN,100.7
0886290-IN,16.28
0886319-IN,286.5
0886395-IN,20
0886396-IN,188.03
0886399-IN,37.56
0886403-IN,175.45
0886430-IN,102.29
0886677-IN,726
0886961-IN,71.14
0886990-IN,17.94
0887034-IN,331.9
0887120-IN,1275.24
0887201-IN,25.99
0887214-IN,11.4
0887243-IN,10.64
0887269-IN,22.31
0887270-IN,23.72
0887801-IN,126.29
0887859-IN,49.42
0888182-IN,180.91
0888521-IN,7.58
0888565-IN,86.87
0888567-IN,113.44
0888792-IN,107.43
0888847-IN,11.63
